,dhlabid,urn,title,city,timestamp,year,doctype,word,count,positive,negative,sentimentscore
36,200272078,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090603_11_21_1,budstikkasoegne,Kristiansand,20090603,2009,digavis,biblioteket,2,2,2,0
37,200272080,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090617_11_23_1,budstikkasoegne,Kristiansand,20090617,2009,digavis,biblioteket,1,0,1,-1
38,200272081,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090624_11_24_1,budstikkasoegne,Kristiansand,20090624,2009,digavis,biblioteket,1,0,1,-1
39,200272082,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090701_11_25_1,budstikkasoegne,Kristiansand,20090701,2009,digavis,biblioteket,1,0,1,-1
40,200272083,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090708_11_26_1,budstikkasoegne,Kristiansand,20090708,2009,digavis,biblioteket,1,0,1,-1
41,200272087,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090819_11_30_1,budstikkasoegne,Kristiansand,20090819,2009,digavis,biblioteket,1,1,0,1
42,200272088,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090826_11_31_1,budstikkasoegne,Kristiansand,20090826,2009,digavis,biblioteket,1,0,0,0
43,200272089,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090902_11_32_1,budstikkasoegne,Kristiansand,20090902,2009,digavis,biblioteket,2,1,3,-2
44,200272090,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090909_11_33_1,budstikkasoegne,Kristiansand,20090909,2009,digavis,biblioteket,2,1,0,1
45,200272091,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090916_11_34_1,budstikkasoegne,Kristiansand,20090916,2009,digavis,biblioteket,1,0,0,0
46,200272092,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090923_11_35_1,budstikkasoegne,Kristiansand,20090923,2009,digavis,biblioteket,2,1,1,0
47,200272093,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090930_11_36_1,budstikkasoegne,Kristiansand,20090930,2009,digavis,biblioteket,2,0,0,0
48,200272095,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091014_11_38_1,budstikkasoegne,Kristiansand,20091014,2009,digavis,biblioteket,2,1,3,-2
49,200272096,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091021_11_39_1,budstikkasoegne,Kristiansand,20091021,2009,digavis,biblioteket,1,0,0,0
50,200272097,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091028_11_40_1,budstikkasoegne,Kristiansand,20091028,2009,digavis,biblioteket,11,10,12,-2
51,200272099,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091111_11_42_1,budstikkasoegne,Kristiansand,20091111,2009,digavis,biblioteket,4,5,1,4
52,200272100,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091118_11_43_1,budstikkasoegne,Kristiansand,20091118,2009,digavis,biblioteket,1,0,0,0
53,200272102,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091202_11_45_1,budstikkasoegne,Kristiansand,20091202,2009,digavis,biblioteket,1,0,0,0
54,200272103,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091209_11_46_1,budstikkasoegne,Kristiansand,20091209,2009,digavis,biblioteket,1,0,0,0
